ID,Name,City,State
111,Kauffman Stadium,Kansas City,MO
112,Perry Park,Keokuk,IA
113,Cashman Field,Las Vegas,NV
114,The Ballpark at Disney's Wide World,Lake Buena Vista,FL
115,Los Angeles Memorial Coliseum,Los Angeles,CA
116,Wrigley Field,Los Angeles,CA
117,Dodger Stadium,Los Angeles,CA
118,Louisville Baseball Park,Louisville,KY
119,Eclipse Park I,Louisville,KY
120,Eclipse Park II,Louisville,KY
121,Eclipse Park III,Louisville,KY
122,Ludlow Baseball Park,Ludlow,KY
123,Long Island Grounds,Maspeth,NY
124,Sun Life Stadium,Miami,FL
125,Marlins Park,Miami,FL
126,Mansfield Club Grounds,Middletown,CT
127,Milwaukee Base-Ball Grounds,Milwaukee,WI
128,Wright Street Grounds,Milwaukee,WI
129,Athletic Park,Milwaukee,WI
130,Lloyd Street Grounds,Milwaukee,WI
131,County Stadium,Milwaukee,WI
132,Miller Park,Milwaukee,WI
133,Athletic Park,Minneapolis,MN
134,Metropolitan Stadium,Bloomington,MN
135,Hubert H. Humphrey Metrodome,Minneapolis,MN
136,Target Field,Minneapolis,MN
137,Estadio Monterrey,Monterrey,MX
138,Parc Jarry,Montreal,QUE
139,Stade Olympique,Montreal,QUE
140,Howard Avenue Grounds,New Haven,CT
141,Hamilton Park,New Haven,CT
142,Beyerle's Park,Newburgh Township,OH
143,Wiedenmeyer's Park,Newark,NJ
144,Union Grounds,Brooklyn,NY
145,Capitoline Grounds,Brooklyn,NY
146,Polo Grounds I (Southeast Diamond),New York,NY
147,Polo Grounds II (Southwest Diamond),New York,NY
148,Washington Park I,Brooklyn,NY
149,Metropolitan Park,New York,NY
150,Grauer's Ridgewood Park,Queens,NY
151,Washington Park II,Brooklyn,NY
152,Polo Grounds III,New York,NY
153,Polo Grounds IV,New York,NY
154,Eastern Park,Brooklyn,NY
155,Washington Park III,Brooklyn,NY
156,Hilltop Park,New York,NY
157,Polo Grounds V,New York,NY
158,Ebbets Field,Brooklyn,NY
159,Yankee Stadium I,New York,NY
160,Shea Stadium,New York,NY
161,Wallace's Ridgewood Park,Queens,NY
162,Washington Park IV,Brooklyn,NY
163,Citi Field,New York,NY
164,Yankee Stadium II,New York,NY
165,Oakland-Alameda County Coliseum,Oakland,CA
166,East End Park,Cincinnati,OH
167,Jefferson Street Grounds,Philadelphia,PA
168,Centennial Park,Philadelphia,PA
169,Oakdale Park,Philadelphia,PA
170,Recreation Park,Philadelphia,PA
171,Keystone Park,Philadelphia,PA
172,Huntingdon Grounds I,Philadelphia,PA
173,Forepaugh Park,Philadelphia,PA
174,University of Penn. Athletic Field,Philadelphia,PA
175,Baker Bowl,Philadelphia,PA
176,Columbia Park,Philadelphia,PA
177,Shibe Park,Philadelphia,PA
178,Veterans Stadium,Philadelphia,PA
179,Citizens Bank Park,Philadelphia,PA
180,Huntingdon Grounds II,Philadelphia,PA
181,Chase Field,Phoenix,AZ
182,Union Park,Pittsburgh,PA
183,Exposition Park I,Pittsburgh,PA
184,Exposition Park II,Pittsburgh,PA
185,Recreation Park,Pittsburgh,PA
186,Exposition Park III,Pittsburgh,PA
187,Forbes Field,Pittsburgh,PA
188,Three Rivers Stadium,Pittsburgh,PA
189,PNC Park,Pittsburgh,PA
190,Adelaide Avenue Grounds,Providence,RI
191,Messer Street Grounds,Providence,RI
192,Agricultural Society Fair Grounds,Rockford,IL
193,Richmond Fair Grounds,Richmond,VA
194,Allens Pasture,Richmond,VA
195,Culver Field I,Rochester,NY
196,Culver Field II,Rochester,NY
197,Ontario Beach Grounds,Rochester,NY
198,St. George Cricket Grounds,New York,NY
199,Qualcomm Stadium,San Diego,CA
200,PETCO Park,San Diego,CA
201,Sick's Stadium,Seattle,WA
202,Kingdome,Seattle,WA
203,Safeco Field,Seattle,WA
204,Seals Stadium,San Francisco,CA
205,Candlestick Park,San Francisco,CA
206,AT&T Park,San Francisco,CA
207,Estadio Hiram Bithorn,San Juan,PR
208,Hampden Park Race Track,Springfield,MA
209,Red Stockings Base Ball Park,St. Louis,MO
210,Grand Avenue Park,St. Louis,MO
