GameID,ID
WAS201506050,822
ARI201506060,823
ATL201506060,824
BOS201506060,825
CHA201506060,826
CIN201506060,827
CLE201506060,828
COL201506060,829
KCA201506060,830
LAN201506060,831
MIN201506060,832
NYA201506060,833
PHI201506060,834
SEA201506060,835
TOR201506060,836
WAS201506060,837
ARI201506070,838
ATL201506070,839
BOS201506070,840
CHA201506070,841
CIN201506070,842
CLE201506070,843
COL201506070,844
KCA201506070,845
LAN201506070,846
MIN201506070,847
NYA201506070,848
PHI201506070,849
SEA201506070,850
TOR201506070,851
WAS201506070,852
ATL201506080,853
CHA201506080,854
CIN201506080,855
COL201506080,856
LAN201506080,857
MIN201506080,858
PIT201506080,859
TOR201506080,860
ATL201506090,861
BAL201506090,862
CHA201506090,863
CIN201506090,864
CLE201506090,865
COL201506090,866
DET201506090,867
LAN201506090,868
MIN201506090,869
NYA201506090,870
NYN201506090,871
OAK201506090,872
PIT201506090,873
TBA201506090,874
TOR201506090,875
ATL201506100,876
BAL201506100,877
CHA201506100,878
CIN201506100,879
CLE201506100,880
COL201506100,881
DET201506100,882
LAN201506100,883
MIN201506100,884
NYA201506100,885
NYN201506100,886
OAK201506100,887
PIT201506100,888
TBA201506100,889
TOR201506100,890
ATL201506110,891
BAL201506110,892
CHN201506110,893
CLE201506110,894
MIA201506110,895
MIL201506110,896
NYN201506110,897
OAK201506110,898
TBA201506110,899
ANA201506120,900
BAL201506120,901
BOS201506120,902
CHN201506120,903
DET201506120,904
HOU201506120,905
MIA201506120,906
MIL201506120,907
NYN201506120,908
PIT201506120,909
SDN201506120,910
SFN201506120,911
SLN201506120,912
TBA201506120,913
TEX201506120,914
ANA201506130,915
BAL201506130,916
BOS201506130,917
CHN201506130,918
DET201506130,919
HOU201506130,920
MIA201506130,921
MIL201506130,922
NYN201506130,923
PIT201506130,924
SDN201506130,925
SFN201506130,926
SLN201506130,927
TBA201506130,928
TEX201506130,929
ANA201506140,930
BAL201506140,931
BOS201506140,932
CHN201506140,933
DET201506140,934
HOU201506140,935
MIA201506140,936
MIL201506140,937
NYN201506140,938
PIT201506140,939
SDN201506140,940
SFN201506140,941
TBA201506140,942
TEX201506140,943
ANA201506150,944
BAL201506150,945
BOS201506150,946
DET201506150,947
HOU201506150,948
MIA201506150,949
MIL201506150,950
NYN201506150,951
PIT201506150,952
SDN201506150,953
SFN201506150,954
SLN201506150,955
TBA201506150,956
TEX201506150,957
ANA201506160,958
BAL201506160,959
BOS201506160,960
CHN201506160,961
DET201506160,962
HOU201506160,963
MIA201506160,964
MIL201506160,965
NYN201506160,966
PIT201506160,967
SDN201506160,968
SFN201506160,969
SLN201506160,970
TBA201506160,971
TEX201506160,972
ARI201506170,973
ATL201506170,974
CHA201506170,975
CIN201506170,976
CLE201506170,977
COL201506170,978
KCA201506170,979
LAN201506170,980
MIN201506170,981
NYA201506170,982
OAK201506170,983
PHI201506170,984
SEA201506170,985
TOR201506170,986
WAS201506170,987
ARI201506180,988
ATL201506180,989
CHA201506180,990
CLE201506180,991
COL201506180,992
KCA201506180,993
LAN201506180,994
MIN201506180,995
NYA201506180,996
OAK201506180,997
PHI201506180,998
SEA201506180,999
TOR201506180,1000
WAS201506180,1001
ARI201506190,1002
ATL201506190,1003
CHA201506190,1004
CIN201506190,1005
CLE201506190,1006
COL201506190,1007
KCA201506190,1008
LAN201506190,1009
MIN201506190,1010
NYA201506190,1011
OAK201506190,1012
PHI201506190,1013
SEA201506190,1014
TOR201506190,1015
WAS201506190,1016
ARI201506200,1017
ATL201506200,1018
CHA201506200,1019
CIN201506200,1020
CLE201506200,1021
COL201506200,1022
KCA201506200,1023
LAN201506200,1024
MIN201506200,1025
NYA201506200,1026
OAK201506200,1027
PHI201506200,1028
SEA201506200,1029
TOR201506200,1030
WAS201506200,1031
ARI201506210,1032
ATL201506210,1033
CHA201506210,1034
CIN201506210,1035
CLE201506210,1036
COL201506210,1037
KCA201506210,1038
LAN201506210,1039
MIN201506210,1040
NYA201506210,1041
OAK201506210,1042
PHI201506210,1043
SEA201506210,1044
TOR201506210,1045
WAS201506210,1046
ANA201506220,1047
CHN201506220,1048
CLE201506220,1049
MIN201506220,1050
NYA201506220,1051
SEA201506220,1052
TBA201506220,1053
ANA201506230,1054
BOS201506230,1055
CHN201506230,1056
CLE201506230,1057
COL201506230,1058
MIA201506230,1059
MIL201506230,1060
MIN201506230,1061
NYA201506230,1062
PIT201506230,1063
SEA201506230,1064
SFN201506230,1065
TBA201506230,1066
TEX201506230,1067
WAS201506230,1068
ANA201506240,1069
BOS201506240,1070
CHN201506240,1071
CLE201506240,1072
COL201506240,1073
MIA201506240,1074
MIL201506240,1075
MIN201506240,1076
NYA201506240,1077
PIT201506240,1078
SEA201506240,1079
SFN201506240,1080
TBA201506240,1081
TEX201506240,1082
WAS201506240,1083
BOS201506250,1084
CHN201506250,1085
COL201506250,1086
DET201506250,1087
HOU201506250,1088
MIA201506250,1089
MIL201506250,1090
PIT201506250,1091
SFN201506250,1092
TEX201506250,1093
WAS201506250,1094
ANA201506260,1095
BAL201506260,1096
DET201506260,1097
HOU201506260,1098
MIA201506260,1099
MIL201506260,1100
NYN201506260,1101
OAK201506260,1102
PHI201506260,1103
PIT201506260,1104
SDN201506260,1105
SFN201506260,1106
SLN201506260,1107
TBA201506260,1108
TOR201506260,1109
ANA201506270,1110
HOU201506270,1111
MIA201506270,1112
MIL201506270,1113
NYN201506270,1114
OAK201506270,1115
PIT201506270,1116
SDN201506270,1117
SFN201506270,1118
SLN201506270,1119
TBA201506270,1120
TOR201506270,1121
ANA201506280,1122
BAL201506281,1123
BAL201506282,1124
DET201506280,1125
HOU201506280,1126
MIA201506280,1127
MIL201506280,1128
NYN201506280,1129
OAK201506280,1130
PHI201506281,1131
PHI201506282,1132
PIT201506280,1133
SDN201506280,1134
SFN201506280,1135
SLN201506280,1136
TBA201506280,1137
TOR201506280,1138
ANA201506290,1139
ARI201506290,1140
BAL201506290,1141
CIN201506290,1142
HOU201506290,1143
OAK201506290,1144
PHI201506290,1145
TBA201506290,1146
TOR201506290,1147
ANA201506300,1148
ARI201506300,1149
ATL201506300,1150
BAL201506300,1151
CIN201506300,1152
DET201506300,1153
HOU201506300,1154
MIA201506300,1155
NYN201506300,1156
OAK201506300,1157
PHI201506300,1158
SDN201506300,1159
SLN201506300,1160
TBA201506300,1161
TOR201506300,1162
ANA201507010,1163
ARI201507010,1164
ATL201507010,1165
BAL201507010,1166
CIN201507010,1167
DET201507010,1168
HOU201507010,1169
MIA201507010,1170
NYN201507010,1171
OAK201507010,1172
PHI201507010,1173
SDN201507010,1174
SLN201507010,1175
TBA201507010,1176
TOR201507010,1177
ARI201507020,1178
ATL201507020,1179
BAL201507020,1180
DET201507020,1181
KCA201507020,1182
MIA201507020,1183
NYN201507020,1184
OAK201507020,1185
PHI201507020,1186
SLN201507020,1187
TBA201507020,1188
TOR201507020,1189
ARI201507030,1190
